TreeID,long,lat,species,latin species,year planted,diameter canopy,dbh,height,biomass
301,389962.3086,5816671,Österreichische Schwarzkiefer,Pinus nigra ssp. Nigra,1961,10,47.74648293,10,18.24664883
302,389970.4371,5816674,Götterbaum,Ailanthus altissima,1953,10,53.15775099,15,1079.139479
303,389969.0326,5816682,Gemeine Eibe,Taxus baccata,1982,4,24.50986124,7,113.1658899
304,389971.1575,5816684,Gemeine Eibe,Taxus baccata,1976,4,28.32957987,7,150.1394914
305,389968.9114,5816686,Gemeine Eibe,Taxus baccata,1974,3,30.87605896,7,177.6086334
306,389969.9921,5816696,"Berg-Ahorn, Weiss-Ahorn",Acer pseudoplatanus,1943,9,56.97746963,17,65.96464095
307,389970.0502,5816709,"Sommer-Eiche, Stiel-Eiche",Quercus robur,1943,9,59.8422586,20,962.5730376
308,389968.9172,5816711,"Sommer-Eiche, Stiel-Eiche",Quercus robur,1925,10,73.21127382,20,1455.680306
309,389971.7664,5816713,"Sommer-Eiche, Stiel-Eiche",Quercus robur,1931,8,73.21127382,20,1455.680306
310,389980.0679,5816704,Ahornblättrige Platane,Platanus acerifolia,1923,22,108.2253613,25,7117.152227
311,389985.99,5816703,Spitz-Ahorn,Acer platanoides,1918,15,77.03099246,25,143.4010435
312,389988.8224,5816703,Gemeine Eibe,Taxus baccata,1985,4,24.50986124,8,128.9186305
313,389993.4058,5816719,Japanischer Schnurbaum,Sophora japonica,1947,12,59.8422586,17,375.5796688
314,389821.1627,5816602,Hainbuche,Carpinus betulus,1981,5,25.14648101,17,356.0708927
315,389821.2021,5816599,Hainbuche,Carpinus betulus,1973,10,39.78873577,18,932.8389442
316,389993.0328,5816686,Oregon-Esche,Fraxinus latifolia,1955,15,74.80282325,17,199.6730962
317,389999.2851,5816674,"Sommer-Eiche, Stiel-Eiche",Quercus robur,1908,15,95.17465597,17,2493.434734
318,390029.9486,5816681,Ulme,Ulmus spec.,1907,15,85.3070495,24,41.98354698
319,390034.1533,5816675,Linde,Tilia spec.,1939,6,60.79718826,18,50.02727787
